Title,Job Zone,Description,Domain,O*NET-SOC Code,spanish_title,spanish_description,spanish_domain
"Mixing and Blending Machine Setters, Operators, and Tenders",2,"Set up, operate, or tend machines to mix or blend materials, such as chemicals, tobacco, liquids, color pigments, or explosive ingredients.",Production Occupations,51-9023.00,"Mezcla y mezcla de marcadores de máquina, operadores y licitaciones","Configurar, operar o atender máquinas para mezclar o mezclar materiales, como productos químicos, tabaco, líquidos, pigmentos de color o ingredientes explosivos.",Ocupaciones de producción
"Cutters and Trimmers, Hand",1,"Use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber.",Production Occupations,51-9031.00,"Cortadores y recortadores, mano","Use herramientas manuales o herramientas eléctricas de mano para cortar y recortar una variedad de artículos fabricados, como alfombras, tela, piedra, vidrio o goma.",Ocupaciones de producción
"Cutting and Slicing Machine Setters, Operators, and Tenders",2,"Set up, operate, or tend machines that cut or slice materials, such as glass, stone, cork, rubber, tobacco, food, paper, or insulating material.",Production Occupations,51-9032.00,"Máquina de corte y cortes de cortadores, operadores y licitaciones","Configurar, operar o tender máquinas que cortan o cortan materiales, como vidrio, piedra, corcho, caucho, tabaco, alimentos, papel o material aislante.",Ocupaciones de producción
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",2,"Set up, operate, or tend machines, such as glass-forming machines, plodder machines, and tuber machines, to shape and form products such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics.",Production Occupations,51-9041.00,"Extrusión, formación, prensado y compactación de máquinas, operadores y licitaciones","Configurar, operar o tender máquinas, como máquinas formadoras de vidrio, máquinas de cola y máquinas de tubérculos, para dar forma y formar productos como cristalería, comida, caucho, jabón, ladrillo, baldosas, arcilla, cera, tabaco o cosmética .",Ocupaciones de producción
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2,"Operate or tend heating equipment other than basic metal, plastic, or food processing equipment. Includes activities such as annealing glass, drying lumber, curing rubber, removing moisture from materials, or boiling soap.",Production Occupations,51-9051.00,"Horno, horno, horno, secador y operadores de hervidores","Operar o tender equipos de calefacción que no sean equipos básicos de metal, plástico o procesamiento de alimentos. Incluye actividades como vidrio de recocido, madera de secado, goma de curado, eliminación de humedad de materiales o jabón hirviendo.",Ocupaciones de producción
"Inspectors, Testers, Sorters, Samplers, and Weighers",2,"Inspect, test, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products for defects, wear, and deviations from specifications. May use precision measuring instruments and complex test equipment.",Production Occupations,51-9061.00,"Inspectores, probadores, clasificadores, muestreadores y pescadores","Inspeccione, pruebe, clasifique, muestre o pese materias primas no agrícolas o procesen, mecanizadas, fabricadas o ensambladas o productos para defectos, desgaste y desviaciones de las especificaciones. Puede usar instrumentos de medición de precisión y equipos de prueba complejos.",Ocupaciones de producción
Jewelers and Precious Stone and Metal Workers,3,"Design, fabricate, adjust, repair, or appraise jewelry, gold, silver, other precious metals, or gems.",Production Occupations,51-9071.00,Joyeros y preciosos trabajadores de piedra y metal,"Diseñar, fabricar, ajustar, reparar o evaluar joyas, oro, plata, otros metales preciosos o gemas.",Ocupaciones de producción
Gem and Diamond Workers,3,"Fabricate, finish, or evaluate the quality of gems and diamonds used in jewelry or industrial tools.",Production Occupations,51-9071.06,Trabajadores de gemas y diamantes,"Fabricar, terminar o evaluar la calidad de las gemas y los diamantes utilizados en joyas o herramientas industriales.",Ocupaciones de producción
Dental Laboratory Technicians,2,Construct and repair full or partial dentures or dental appliances.,Production Occupations,51-9081.00,Técnicos de laboratorio dental,Construir y reparar dentaduras postizas o electrodomésticas dentales completas o parciales.,Ocupaciones de producción
Medical Appliance Technicians,3,"Construct, maintain, or repair medical supportive devices such as braces, orthotics and prosthetic devices, joints, arch supports, and other surgical and medical appliances.",Production Occupations,51-9082.00,Técnicos de dispositivos médicos,"Construya, mantiene o repara dispositivos de apoyo médico, como aparatos ortopédicos, dispositivos ortéticos y protésicos, articulaciones, soportes de arco y otros electrodomésticos quirúrgicos y médicos.",Ocupaciones de producción
Ophthalmic Laboratory Technicians,2,"Cut, grind, and polish eyeglasses, contact lenses, or other precision optical elements. Assemble and mount lenses into frames or process other optical elements. Includes precision lens polishers or grinders, centerer-edgers, and lens mounters.",Production Occupations,51-9083.00,Técnicos de laboratorio oftálmico,"Cortar, moler y pulir anteojos, lentes de contacto u otros elementos ópticos de precisión. Ensamblar y montar lentes en marcos o procesar otros elementos ópticos. Incluye pulsadores de lentes de precisión o molinillos, bordes centrales y montas de lentes.",Ocupaciones de producción
Packaging and Filling Machine Operators and Tenders,2,Operate or tend machines to prepare industrial or consumer products for storage or shipment. Includes cannery workers who pack food products.,Production Occupations,51-9111.00,Operadores y licitaciones de la máquina de embalaje y llenado,Operar o tender máquinas para preparar productos industriales o de consumo para el almacenamiento o el envío. Incluye trabajadores de conservas que empacan productos alimenticios.,Ocupaciones de producción
"Painting, Coating, and Decorating Workers",1,"Paint, coat, or decorate articles, such as furniture, glass, plateware, pottery, jewelry, toys, books, or leather.",Production Occupations,51-9123.00,"Pintar, recubrir y decorar trabajadores","Pinte, recubrimiento o decore artículos, como muebles, vidrio, placa, cerámica, joyas, juguetes, libros o cuero.",Ocupaciones de producción
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2,"Set up, operate, or tend spraying or rolling machines to coat or paint any of a wide variety of products, including glassware, cloth, ceramics, metal, plastic, paper, or wood, with lacquer, silver, copper, rubber, varnish, glaze, enamel, oil, or rust-proofing materials. Includes painters of transportation vehicles such as painters in auto body repair facilities.",Production Occupations,51-9124.00,"Setters, operadores y licitadores de recubrimiento, pintura y pulverización, operadores y licitaciones","Configurar, operar o tender máquinas rociando o rodar para cubrir o pintar cualquiera de una amplia variedad de productos, incluidos cristalería, tela, cerámica, metal, plástico, papel o madera, con laca, plata, cobre, caucho, barniz, esmalte, esmalte, aceite o materiales a prueba de óxido. Incluye pintores de vehículos de transporte como pintores en instalaciones de reparación de carrocería.",Ocupaciones de producción
Semiconductor Processing Technicians,2,"Perform any or all of the following functions in the manufacture of electronic semiconductors: load semiconductor material into furnace; saw formed ingots into segments; load individual segment into crystal growing chamber and monitor controls; locate crystal axis in ingot using x-ray equipment and saw ingots into wafers; and clean, polish, and load wafers into series of special purpose furnaces, chemical baths, and equipment used to form circuitry and change conductive properties.",Production Occupations,51-9141.00,Técnicos de procesamiento de semiconductores,"Realice cualquiera o todas las siguientes funciones en la fabricación de semiconductores electrónicos: cargar material semiconductor en horno; vio lingotes formados en segmentos; Cargar segmento individual en la cámara de crecimiento de cristales y monitorear los controles; Localice el eje de cristal en lingote utilizando equipos de rayos X y vea lingotes en obleas; y limpieza, pulir y cargar obleas en series de hornos especiales, baños químicos y equipos utilizados para formar circuitos y cambiar las propiedades conductoras.",Ocupaciones de producción
Photographic Process Workers and Processing Machine Operators,2,Perform work involved in developing and processing photographic images from film or digital media. May perform precision tasks such as editing photographic negatives and prints.,Production Occupations,51-9151.00,Trabajadores de procesos fotográficos y operadores de máquinas de procesamiento,"Realice el trabajo involucrado en el desarrollo y el procesamiento de imágenes fotográficas de películas o medios digitales. Puede realizar tareas de precisión, como editar negativos y impresiones fotográficas.",Ocupaciones de producción
