Title,dutch_title,Job Zone,Description,dutch_description,Domain,dutch_domain,O*NET-SOC Code
"Opticians, Dispensing","Opticiens, afgeven",3,"Design, measure, fit, and adapt lenses and frames for client according to written optical prescription or specification. Assist client with inserting, removing, and caring for contact lenses. Assist client with selecting frames. Measure customer for size of eyeglasses and coordinate frames with facial and eye measurements and optical prescription. Prepare work order for optical laboratory containing instructions for grinding and mounting lenses in frames. Verify exactness of finished lens spectacles. Adjust frame and lens position to fit client. May shape or reshape frames. Includes contact lens opticians.","Ontwerp-, maat-, fit- en aanpaste lenzen en frames voor client volgens schriftelijke optische recept of specificatie. Help de klant bij het invoegen, verwijderen en de zorg voor contactlenzen. Help de client bij het selecteren van frames. Meet de klant voor de grootte van bril en coördinaatframes met gezichts- en oogmetingen en optisch recept. Bereid de werkorder voor op optisch laboratorium dat instructies bevat voor slijpen en montages in frames. Controleer de nauwkeurigheid van afgewerkte lensbril. Pas het frame- en lenspositie aan om de client te passen. Kan frames vormgeven of hervormen. Bevat contactlens opticiens.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2081.00
Orthotists and Prosthetists,Ortinten en protheses,5,"Design, measure, fit, and adapt orthopedic braces, appliances or prostheses, such as limbs or facial parts for patients with disabling conditions.","Ontwerp, maat, fit en passen orthopedische beugels, apparaten of prothesen aan, zoals ledematen of gezichtsonderdelen voor patiënten met invaliderende aandoeningen.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2091.00
Hearing Aid Specialists,Hoortoestel specialisten,3,"Select and fit hearing aids for customers. Administer and interpret tests of hearing. Assess hearing instrument efficacy. Take ear impressions and prepare, design, and modify ear molds.","Selecteer en past hoorapparaten voor klanten. Beheer en interpreteer tests van het horen. Beoordeel de werkzaamheid van het gehoorinstrument. Neem oor indrukken en bereid, ontwerpen en wijzig oorvormen.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2092.00
Neurodiagnostic Technologists,Neurodiagnostische technologen,3,"Conduct electroneurodiagnostic (END) tests such as electroencephalograms, evoked potentials, polysomnograms, or electronystagmograms. May perform nerve conduction studies.","Voer elektroneurodiagnostische (END) -tests uit zoals elektro -encefalogrammen, opgeroepen potentialen, polysomnogrammen of elektronystagmogrammen. Kunnen onderzoeksstudies van zenuwgeleiding uitvoeren.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2099.01
Ophthalmic Medical Technologists,Oogheelkundige medische technologen,3,"Assist ophthalmologists by performing ophthalmic clinical functions and ophthalmic photography. Provide instruction and supervision to other ophthalmic personnel. Assist with minor surgical procedures, applying aseptic techniques and preparing instruments. May perform eye exams, administer eye medications, and instruct patients in care and use of corrective lenses.","Help oogheelkolingen door oogheelkundige klinische functies en oogheelkundige fotografie uit te voeren. Instructie en toezicht geven aan ander oogheelkundige personeel. Helpen bij kleine chirurgische procedures, het toepassen van aseptische technieken en het voorbereiden van instrumenten. Kan oogonderzoeken uitvoeren, oogmedicijnen uitvoeren en patiënten instrueren bij de zorg en het gebruik van corrigerende lenzen.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2099.05
Patient Representatives,Patiëntvertegenwoordigers,3,"Assist patients in obtaining services, understanding policies and making health care decisions.","Patiënten helpen bij het verkrijgen van diensten, het begrijpen van beleid en het nemen van beslissingen over gezondheidszorg.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2099.08
Health Information Technologists and Medical Registrars,Gezondheidsinformatie Technologen en medische registrars,3,"Apply knowledge of healthcare and information systems to assist in the design, development, and continued modification and analysis of computerized healthcare systems. Abstract, collect, and analyze treatment and followup information of patients. May educate staff and assist in problem solving to promote the implementation of the healthcare information system. May design, develop, test, and implement databases with complete history, diagnosis, treatment, and health status to help monitor diseases.","Pas kennis van gezondheidszorg en informatiesystemen toe om te helpen bij het ontwerp, de ontwikkeling en de voortdurende wijziging en analyse van geautomatiseerde gezondheidszorgsystemen. Samenvatting, verzamel en analyseer behandeling en follow -upinformatie van patiënten. Kan personeel opleiden en helpen bij het oplossen van problemen om de implementatie van het zorginformatiesysteem te bevorderen. Kan databases ontwerpen, ontwikkelen, testen en implementeren met volledige geschiedenis, diagnose, behandeling en gezondheidstoestand om ziekten te helpen controleren.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-9021.00
Athletic Trainers,Atletische trainers,5,"Evaluate and treat musculoskeletal injuries or illnesses. Provide preventive, therapeutic, emergency, and rehabilitative care.","Musculoskeletale verwondingen of ziekten evalueren en behandelen. Zorg voor preventieve, therapeutische, noodgeval en revaliderende zorg.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-9091.00
Genetic Counselors,Genetische counselors,5,"Assess individual or family risk for a variety of inherited conditions, such as genetic disorders and birth defects. Provide information to other healthcare providers or to individuals and families concerned with the risk of inherited conditions. Advise individuals and families to support informed decisionmaking and coping methods for those at risk. May help conduct research related to genetic conditions or genetic counseling.","Beoordeel het individuele of familierisico op verschillende erfelijke aandoeningen, zoals genetische aandoeningen en geboorteafwijkingen. Informatie verstrekken aan andere zorgverleners of aan personen en gezinnen die zich bezighouden met het risico van erfelijke omstandigheden. Personen en gezinnen adviseren om geïnformeerde besluitvormings- en coping -methoden te ondersteunen voor degenen die risico lopen. Kan helpen onderzoek te doen met betrekking tot genetische aandoeningen of genetische counseling.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-9092.00
Surgical Assistants,Chirurgische assistenten,3,"Assist in operations, under the supervision of surgeons. May, in accordance with state laws, help surgeons to make incisions and close surgical sites, manipulate or remove tissues, implant surgical devices or drains, suction the surgical site, place catheters, clamp or cauterize vessels or tissue, and apply dressings to surgical site.","Assisteren bij operaties, onder toezicht van chirurgen. Kunnen, in overeenstemming met de staatswetten, chirurgen helpen om incisies te maken en chirurgische sites te sluiten, weefsels te manipuleren of te verwijderen, chirurgische apparaten of afvoeren te implanteren, de chirurgische site te zuigen, katheters, klem of cauterize vaten of weefsel te verwijderen en verbreken op chirurgische site toe te passen op chirurgische locatie .",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-9093.00
Midwives,Verloskundigen,5,Provide prenatal care and childbirth assistance.,Zorg voor prenatale zorg en hulp bij bevalling.,Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-9099.01
Home Health Aides,Home Health Aides,2,"Monitor the health status of an individual with disabilities or illness, and address their health-related needs, such as changing bandages, dressing wounds, or administering medication. Work is performed under the direction of offsite or intermittent onsite licensed nursing staff. Provide assistance with routine healthcare tasks or activities of daily living, such as feeding, bathing, toileting, or ambulation. May also help with tasks such as preparing meals, doing light housekeeping, and doing laundry depending on the patient's abilities.","Controleer de gezondheidstoestand van een individu met een handicap of ziekte, en ga aan hun gezondheidsgerelateerde behoeften, zoals het veranderen van verbanden, verbandwonden of het toedienen van medicatie. Werk wordt uitgevoerd onder leiding van offsite of intermitterend ter plaatse vergunningverplegingspersoneel. Zorg voor hulp bij routinematige gezondheidszorgtaken of activiteiten van het dagelijks leven, zoals voeding, baden, toiletten of ambulatie. Kan ook helpen bij taken zoals het bereiden van maaltijden, het uitvoeren van een lichte huishouden en het doen van wassen, afhankelijk van de mogelijkheden van de patiënt.",Healthcare Support Occupations,Beroepen in de gezondheidszorgondersteuning,31-1121.00
Personal Care Aides,Aides voor persoonlijke verzorging,2,"Provide personalized assistance to individuals with disabilities or illness who require help with personal care and activities of daily living support (e.g., feeding, bathing, dressing, grooming, toileting, and ambulation). May also provide help with tasks such as preparing meals, doing light housekeeping, and doing laundry. Work is performed in various settings depending on the needs of the care recipient and may include locations such as their home, place of work, out in the community, or at a daytime nonresidential facility.","Personaliseerde hulp bieden aan personen met een handicap of ziekte die hulp nodig hebben bij persoonlijke verzorging en activiteiten van ondersteuning van het dagelijks leven (bijv. Voeding, baden, aankleden, verzorgen, toilet en ambulatie). Kan ook hulp bieden bij taken zoals het bereiden van maaltijden, het uitvoeren van lichte huishouden en het doen van wasgoed. Werk wordt uitgevoerd in verschillende instellingen, afhankelijk van de behoeften van de zorgontvanger en kan locaties zoals hun huis, werkplek, in de gemeenschap of bij een niet -residentiële faciliteit overdag omvatten.",Healthcare Support Occupations,Beroepen in de gezondheidszorgondersteuning,31-1122.00
