Title,Job Zone,Description,Domain,O*NET-SOC Code,german_title,german_description,german_domain
Surveying and Mapping Technicians,3,"Perform surveying and mapping duties, usually under the direction of an engineer, surveyor, cartographer, or photogrammetrist, to obtain data used for construction, mapmaking, boundary location, mining, or other purposes. May calculate mapmaking information and create maps from source data, such as surveying notes, aerial photography, satellite data, or other maps to show topographical features, political boundaries, and other features. May verify accuracy and completeness of maps.",Architecture and Engineering Occupations,17-3031.00,Vermessungstechniker und Kartierungstechniker,"Führen Sie die Aufgaben von Vermessung und Kartierung aus, normalerweise unter der Leitung eines Ingenieurs, Vermessers, Kartografen oder Photogrammetristen, um Daten für den Bau, die Kartierung, die Grenzstelle, den Bergbau oder andere Zwecke zu erhalten. Kann Kartenherstellungsinformationen berechnen und Karten aus Quelldaten erstellen, wie z. B. Vermessungsnotizen, Luftfotografie, Satellitendaten oder andere Karten, um topografische Merkmale, politische Grenzen und andere Merkmale anzuzeigen. Kann die Genauigkeit und Vollständigkeit von Karten überprüfen.",Architektur und technische Berufe
Animal Scientists,5,"Conduct research in the genetics, nutrition, reproduction, growth, and development of domestic farm animals.","Life, Physical, and Social Science Occupations",19-1011.00,Tierwissenschaftler,"Führen Sie Forschungen in den Genetik, Ernährung, Fortpflanzung, Wachstum und Entwicklung von Haushaltstieren durch.","Lebens-, physische und sozialwissenschaftliche Berufe"
Food Scientists and Technologists,4,"Use chemistry, microbiology, engineering, and other sciences to study the principles underlying the processing and deterioration of foods; analyze food content to determine levels of vitamins, fat, sugar, and protein; discover new food sources; research ways to make processed foods safe, palatable, and healthful; and apply food science knowledge to determine best ways to process, package, preserve, store, and distribute food.","Life, Physical, and Social Science Occupations",19-1012.00,Lebensmittelwissenschaftler und Technologen,"Verwenden Sie Chemie, Mikrobiologie, Ingenieurwesen und andere Wissenschaften, um die der Verarbeitung und Verschlechterung von Lebensmitteln zugrunde liegenden Prinzipien zu untersuchen; Analyse des Lebensmittelgehalts, um die Spiegel von Vitaminen, Fett, Zucker und Protein zu bestimmen. Entdecken Sie neue Nahrungsquellen; Forschungsmöglichkeiten, um verarbeitete Lebensmittel sicher, schmackhaft und gesund zu machen; Wenden Sie das Wissen über Lebensmittelwissenschaften an, um die besten Möglichkeiten zum Verarbeiten, Verpacken, Aufbewahren, Speichern und Verteilern von Lebensmitteln zu ermitteln.","Lebens-, physische und sozialwissenschaftliche Berufe"
Soil and Plant Scientists,5,"Conduct research in breeding, physiology, production, yield, and management of crops and agricultural plants or trees, shrubs, and nursery stock, their growth in soils, and control of pests; or study the chemical, physical, biological, and mineralogical composition of soils as they relate to plant or crop growth. May classify and map soils and investigate effects of alternative practices on soil and crop productivity.","Life, Physical, and Social Science Occupations",19-1013.00,Boden- und Pflanzenwissenschaftler,"Forschung in Züchtung, Physiologie, Produktion, Ertrag und Management von Pflanzen und landwirtschaftlichen Pflanzen oder Bäumen, Sträuchern und Kindergarten, ihr Wachstum in Böden und Kontrolle von Schädlingen; oder untersuchen Sie die chemische, physikalische, biologische und mineralogische Zusammensetzung von Böden, die sich auf das Wachstum von Pflanzen oder Pflanzen beziehen. Kann Böden klassifizieren und kartieren und die Auswirkungen alternativer Praktiken auf die Boden- und Pflanzenproduktivität untersuchen.","Lebens-, physische und sozialwissenschaftliche Berufe"
Biochemists and Biophysicists,5,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.","Life, Physical, and Social Science Occupations",19-1021.00,Biochemiker und Biophysiker,"Untersuchen Sie die chemische Zusammensetzung oder die physikalischen Prinzipien lebender Zellen und Organismen, ihre elektrische und mechanische Energie und verwandte Phänomene. Kann Forschungen durchführen, um die komplexen chemischen Kombinationen und Reaktionen, die mit dem Stoffwechsel, der Fortpflanzung, des Wachstums und der Vererbung beteiligt sind, ein besseres Verständnis durchführen. Kann die Auswirkungen von Lebensmitteln, Medikamenten, Seren, Hormonen und anderen Substanzen auf Gewebe und wichtige Prozesse lebender Organismen bestimmen.","Lebens-, physische und sozialwissenschaftliche Berufe"
Microbiologists,5,"Investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi. Includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms.","Life, Physical, and Social Science Occupations",19-1022.00,Mikrobiologen,"Untersuchen Sie das Wachstum, die Struktur, die Entwicklung und andere Merkmale von mikroskopischen Organismen wie Bakterien, Algen oder Pilzen. Beinhaltet medizinische Mikrobiologen, die den Zusammenhang zwischen Organismen und Krankheiten oder die Auswirkungen von Antibiotika auf Mikroorganismen untersuchen.","Lebens-, physische und sozialwissenschaftliche Berufe"
Zoologists and Wildlife Biologists,5,"Study the origins, behavior, diseases, genetics, and life processes of animals and wildlife. May specialize in wildlife research and management. May collect and analyze biological data to determine the environmental effects of present and potential use of land and water habitats.","Life, Physical, and Social Science Occupations",19-1023.00,Zoologe und Wildtierbiologen,"Studieren Sie die Ursprünge, Verhalten, Krankheiten, Genetik und Lebensprozesse von Tieren und Wildtieren. Kann sich auf Wildtierforschung und -management spezialisiert. Kann biologische Daten sammeln und analysieren, um die Umweltauswirkungen der gegenwärtigen und potenziellen Nutzung von Land- und Wasserlebensräumen zu bestimmen.","Lebens-, physische und sozialwissenschaftliche Berufe"
Bioinformatics Scientists,5,"Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.","Life, Physical, and Social Science Occupations",19-1029.01,Bioinformatikwissenschaftler,"Führen Sie Forschungsarbeiten unter Verwendung der Bioinformatik -Theorie und -Methoden in Bereichen wie Pharmazeutika, Medizintechnik, Biotechnologie, Computerbiologie, Proteomik, Computerinformationswissenschaft, Biologie und medizinische Informatik durch. Kann Datenbanken entwerfen und Algorithmen zur Verarbeitung und Analyse genomischer Informationen oder anderer biologischer Informationen entwickeln.","Lebens-, physische und sozialwissenschaftliche Berufe"
Molecular and Cellular Biologists,5,Research and study cellular molecules and organelles to understand cell function and organization.,"Life, Physical, and Social Science Occupations",19-1029.02,Molekül- und Zellbiologen,"Forschungs- und Untersuchung von Zellmolekülen und Organellen, um die Zellfunktion und -organisation zu verstehen.","Lebens-, physische und sozialwissenschaftliche Berufe"
Geneticists,5,"Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.","Life, Physical, and Social Science Occupations",19-1029.03,Genetiker,"Forschung und untersuchen Sie die Vererbung von Merkmalen auf Molekular-, Organismus- oder Populationsebene. Können Patienten mit genetischen Störungen bewerten oder behandeln.","Lebens-, physische und sozialwissenschaftliche Berufe"
Biologists,5,"Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.","Life, Physical, and Social Science Occupations",19-1029.04,Biologen,"Forschungs- oder Studiengrundprinzipien des Pflanzen- und Tierlebens, wie Herkunft, Beziehung, Entwicklung, Anatomie und Funktionen.","Lebens-, physische und sozialwissenschaftliche Berufe"
Conservation Scientists,4,"Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.","Life, Physical, and Social Science Occupations",19-1031.00,Naturschutzwissenschaftler,"Verwalten, verbessern und schützen natürliche Ressourcen, um ihre Nutzung zu maximieren, ohne die Umwelt zu beschädigen. Kann Bodenumfragen durchführen und Pläne entwickeln, um die Bodenerosion zu beseitigen oder Wineland zu schützen. Kann Landwirte, landwirtschaftliche Produktionsleiter oder Viehzüchter auf die beste Weise anweisen, um Ernteumdrehungen, Konturpflügen oder Terrassen zu verwenden, um Boden und Wasser zu sparen. in der Anzahl und Art von Vieh- und Futterpflanzen, die am besten zu bestimmten Bereichen geeignet sind; und in Reichweite und landwirtschaftliche Verbesserungen wie Zäune und Stauseen für die Lagerbestände.","Lebens-, physische und sozialwissenschaftliche Berufe"
